comment_text,sentiment
Sodow,neutral
Saya sukak lagu ini,neutral
Saya suka,neutral
"Tengah ambik feeling raya, keluarga tkde yg balik kampung.. Sye 4 beranak semua sakit dkt rumah.. laki pulak kt perantauan",positive
Selamat hari raya aidilhadha kepada semua warga negara semoga hati² dijalan raya ingat orang yang tersayang...Hati² balik kg doa moga perjalanan kita selamat pergi selamat balik..moga lagu raya ni buat kita semua semangat raya berjumpa keluarga semua..Selamat hari raya aidilhadha.,negative
Selamat hari raya semua salam dari sabah,neutral
raya,neutral
"awal pagi takbir lagi,hidupkan lagu raya ni",neutral
"Raya haji 2025 pon kita onnn lagi malam raya buka lagu raya ..fuhhhh,selamat hari raya geng² smua,salam dari anak kedah",neutral
❤❤❤❤,positive
Bestlah boleh menyejukkan hati,neutral
Tsk acir p,neutral
Sedapnya lagu ni 😊😊😊😊😊❤❤❤❤,positive
Slmt raya tuk semua.maaf zhir btin,neutral
Selamat hari raya,neutral
😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️,neutral
Mesti...laaa,neutral
nak raya niy,neutral
Fitri,neutral
"ust pesan sederhana , alhamdulillah nanti Allah tambah",neutral
"Playlist lagu raya terkini di Spotify:
https://open.spotify.com/playlist/6bTmBOty3kDzMWGVYGoo5t?si=A-_Jvpl0Q3W0Upue2HCYqw&pi=2_pYoC_vTFiOi",neutral
Raya haji yeahh ❤❤ happy day 😊,positive
0:17 sghqfg,neutral
🎉🎉🎉 sangat bagus,positive
saya buat persembahan lagu ni,neutral
"Hari raya genap sudah sebulan berpuasa
Hari raya mari ramai- ramai kita gembira
Di hari raya kita saling bermaaf-maafan
Hari raya mari ramai-ramai jemput ke rumah

Sesudah sebulan kita berpuasa
Menahan lapar dan juga dahaga
Erti puasa memberikan kita
Nikmat sebenar hari aidilfitri

Hari raya genap sudah sebulan berpuasa
Hari raya mari ramai- ramai kita gembira
Di hari raya kita saling bermaaf-maafan
Hari raya mari ramai-ramai jemput ke rumah

Mari balik kampung
Jumpa ayah ibunda
Mari balik kampung
Kita rai lebaran

...

Hari raya
Genap sudah sebulan berpuasa
Hari raya
Mari ramai-ramai kita gembira
Di hari raya
Kita saling bermaaf-maafan
Hari raya
Mari ramai-ramai jemput ke rumah",neutral
Lagu ni memang best🎉,positive
0:01,neutral
Persembahan Hari Raya Esok Yey Guna Lagu Ni Cikgu Kata Sedap Lagu😊🎉,positive
WOW,positive
2025🎉,positive
saya dah buat persembahan dah,neutral
Hhqhqoji❤😇🙋😻,positive
Saya suka Lagu ni,neutral
Sedih Bila dengar Lagu ni😢,negative
Saya jumaat 3/5/2024🎉,positive
Sy Hari Khamis 2/5/2024,neutral
Besok kami dah persembahan😊,positive
Kena buat lakonan guna lagu ni yey,neutral
"👍🕌🙏🤲🕋🧕👳Raya
👇",neutral
รายอนี้เจอกัน,neutral
Bahasa Thailand❤,positive
Saya lihat postingan I-DA pakai lagu kampung halamanku.,neutral
Salam dari Kota Tanjungbalai Provinsi Sumatera Utara Indonesia.,neutral
❤🎉😊😢,positive
😍😍❤❤❤❤❤❤,positive
